555	499	567	521	1
655	473	664	492	3
327	437	336	454	9
557	459	566	477	12
173	278	177	287	7
100	243	105	254	10
255	181	258	188	16
184	282	189	294	23
173	253	177	263	24
770	542	846	582	1
567	460	597	487	4
528	501	567	538	5
1160	543	1270	589	18
240	303	264	323	1
164	280	177	298	9
362	303	396	325	10
240	341	263	363	4
174	288	187	303	6
362	340	398	366	12
304	43	371	231	6
327	38	389	240	7
363	340	396	365	17
994	265	1027	286	4
253	355	284	377	6
768	542	845	583	1
380	659	456	719	3
526	501	570	537	6
566	461	594	485	10
1161	544	1271	586	15
768	542	845	583	1
380	659	456	719	3
526	501	570	537	6
566	461	594	485	10
1161	544	1271	586	15
768	542	845	583	1
380	659	456	719	3
526	501	570	537	6
566	461	594	485	10
1161	544	1271	586	15
187	205	480	479	1
768	542	845	583	1
380	659	456	719	3
526	501	570	537	6
566	461	594	485	10
1161	544	1271	586	15
34	157	384	472	1
181	154	538	476	1
768	542	845	583	1
380	659	456	719	3
526	501	570	537	6
566	461	594	485	10
1161	544	1271	586	15
