272	298	291	325	60
81	356	130	403	85
161	265	175	279	104
178	276	189	291	109
135	381	168	447	113
585	674	651	717	36
444	608	549	716	102
268	572	415	646	107
517	419	567	448	116
874	477	930	521	117
575	440	607	466	123
843	456	877	493	125
705	425	730	445	134
585	674	651	717	36
444	608	549	716	102
268	572	415	646	107
517	419	567	448	116
874	477	930	521	117
575	440	607	466	123
843	456	876	493	125
705	425	730	445	134
585	674	651	717	36
444	608	549	716	102
268	572	415	646	107
517	419	567	448	116
874	477	930	521	117
575	440	607	466	123
843	456	876	493	125
705	425	730	445	134
