825	525	848	586	15
323	325	360	363	3
280	274	302	299	40
184	226	193	237	64
221	275	253	322	80
302	299	331	333	81
350	358	390	399	82
323	366	360	406	4
350	403	391	449	32
280	310	301	336	39
183	256	192	267	66
0	6	639	479	1
222	309	252	366	22
322	364	358	415	27
170	279	183	297	40
281	311	301	337	60
258	280	275	300	62
712	494	805	585	36
1120	640	1250	719	52
551	443	592	477	59
897	492	961	540	72
826	447	876	481	73
633	402	656	426	74
973	538	1062	603	77
1034	583	1153	666	78
591	407	618	428	79
826	525	847	584	80
712	494	805	585	36
1120	640	1250	719	52
551	443	591	477	59
897	494	961	541	71
826	447	876	481	72
633	402	656	426	73
973	538	1062	603	76
1035	583	1153	666	77
591	407	618	428	78
826	525	847	584	79
712	494	805	585	36
1120	640	1250	719	52
551	443	591	477	59
897	494	961	541	71
826	447	876	481	72
633	402	656	426	73
973	538	1062	603	76
1035	583	1153	666	77
591	407	618	428	78
826	525	847	584	79
