568	457	576	472	1
336	413	343	429	9
176	253	180	261	7
760	520	830	553	1
1170	511	1249	547	2
490	529	545	587	3
582	443	607	463	4
557	472	583	498	5
1230	484	1279	518	11
237	289	261	307	1
364	284	390	303	2
153	299	170	326	3
151	336	169	367	1
363	320	389	340	2
238	326	259	345	4
179	280	190	290	6
215	43	376	260	2
237	326	259	345	1
364	319	390	340	2
758	521	829	553	1
1175	511	1244	544	2
489	538	541	586	3
553	471	583	499	6
758	520	829	553	1
1175	511	1244	544	2
489	538	541	586	3
553	471	583	499	6
758	521	829	553	1
1175	511	1244	544	2
489	538	541	586	3
553	471	583	499	6
105	202	452	478	1
758	521	829	553	1
1175	511	1244	544	2
489	538	541	586	3
553	471	583	499	6
6	207	279	479	1
191	156	535	475	1
758	521	829	553	1
1175	511	1244	544	2
489	538	541	586	3
553	471	583	499	6
