105	337	140	373	85
165	262	177	274	104
253	417	262	449	107
181	268	191	283	109
153	343	179	392	113
492	549	574	629	102
336	537	451	599	107
585	578	668	660	115
525	416	570	441	116
856	465	904	503	117
809	664	837	719	121
583	430	610	451	123
829	446	856	476	125
704	424	731	447	134
492	549	574	629	102
336	537	451	599	107
585	578	668	660	115
525	416	570	441	116
856	465	904	503	117
809	664	837	719	121
583	430	610	451	123
829	446	856	476	125
704	424	731	447	134
492	549	574	629	102
336	537	451	599	107
585	578	668	660	115
525	416	570	441	116
856	465	904	503	117
809	664	837	719	121
583	430	610	451	123
829	446	856	476	125
704	424	731	447	134
