262	9	639	472	2
252	261	257	271	16
265	279	271	291	35
222	274	225	284	55
217	360	223	373	68
534	123	554	155	10
1031	478	1049	531	13
819	444	861	474	24
1123	486	1237	531	32
775	414	804	437	33
1031	478	1049	531	35
239	228	249	238	3
282	40	426	374	9
210	247	221	263	40
353	302	384	330	43
119	109	497	478	1
146	112	151	124	87
825	444	862	474	34
674	390	708	420	36
1129	483	1228	532	48
825	444	862	474	34
674	390	708	420	36
1128	483	1228	532	48
109	3	458	477	1
825	444	862	474	34
674	390	708	420	36
1128	483	1228	532	48
