281	279	307	307	3
245	235	258	247	45
225	225	233	232	47
317	319	354	356	60
342	348	394	399	63
188	220	194	227	64
344	391	391	449	17
257	280	272	297	39
317	358	355	400	46
6	52	636	478	1
216	274	237	311	22
343	391	391	449	38
284	319	308	348	45
317	358	353	405	52
258	279	271	298	60
246	265	257	279	62
696	440	755	498	36
1016	574	1127	647	51
908	506	986	559	52
1099	622	1249	717	69
829	445	867	478	72
785	420	826	446	73
696	440	755	498	36
1016	574	1127	647	51
908	506	986	559	52
1098	622	1249	717	69
829	445	867	478	71
785	420	826	446	72
208	50	364	470	1
696	440	755	498	36
1016	574	1127	647	51
908	506	986	559	52
1098	622	1249	717	69
829	445	867	478	71
785	420	826	446	72
