456	177	639	473	2
169	308	174	319	7
98	257	102	267	10
182	308	188	320	23
188	307	192	318	28
89	277	94	289	34
950	555	971	609	7
912	512	927	546	8
795	573	877	625	1
543	483	581	519	4
459	569	525	634	5
912	512	927	546	9
951	555	971	609	21
771	465	805	491	22
247	320	274	347	1
142	316	165	352	9
168	268	182	288	15
247	361	275	391	4
141	356	165	395	9
358	238	403	281	1
269	63	356	277	6
49	86	598	474	1
247	358	274	390	1
165	302	180	324	22
107	127	496	476	1
956	277	987	296	1
1010	282	1040	303	4
94	188	103	206	26
792	571	879	625	1
453	571	522	635	6
537	482	579	519	10
773	462	804	491	20
950	556	970	607	22
792	571	879	625	1
453	571	522	635	6
537	482	579	519	10
773	462	804	491	20
950	556	970	607	22
792	571	879	625	1
453	571	522	635	6
537	482	579	519	10
773	462	804	491	20
950	556	970	607	22
11	163	443	475	1
242	140	623	475	1
792	571	879	625	1
453	571	522	635	6
537	482	579	519	10
773	462	804	491	20
950	556	970	607	22
